id,name,k1,k2,k3,avg_test_ll,avg_lp.min
r8noi7iy,faithful-sweep-79,4,6,48,-23.16394805908203,-35.04806900024414
pb7tr30e,pleasant-sweep-80,4,6,72,-23.95495223999023,-34.698028564453125
jyan46qn,autumn-sweep-81,4,6,90,-23.299800872802734,-34.63484573364258
44fadc11,playful-sweep-82,4,8,2,-28.278539657592773,-34.97500991821289
2tphuawi,lemon-sweep-83,4,8,4,-24.347646713256836,-35.39282989501953
ni0sg90a,fiery-sweep-84,4,8,8,-23.43453598022461,-35.112640380859375
wu46vve9,absurd-sweep-85,4,8,16,-22.66684913635254,-35.08927917480469
2me5kim8,swept-sweep-86,4,8,24,-23.86058235168457,-35.06247329711914
jhxlfoxd,feasible-sweep-87,4,8,36,-23.042451858520508,-34.8067626953125
topkyuha,twilight-sweep-88,4,8,48,-23.384206771850582,-34.862754821777344
og3n4ung,swift-sweep-89,4,8,72,-24.431793212890625,-34.35647964477539
1mbq7kfz,deep-sweep-90,4,8,90,-23.027442932128903,-34.73571014404297
ugt0d98r,solar-sweep-91,4,16,2,-27.62796211242676,-35.35152053833008
qfflnwuq,glorious-sweep-92,4,16,4,-23.856494903564453,-35.002140045166016
wmobemoh,mild-sweep-93,4,16,8,-22.858661651611328,-35.12004089355469
pilgb5n4,silvery-sweep-94,4,16,16,-23.207948684692383,-35.11035919189453
54oy733c,fiery-sweep-95,4,16,24,-23.17583274841309,-35.14358139038086
t6sgjqag,expert-sweep-96,4,16,36,-22.64261817932129,-35.01710891723633
dmn6y0ha,faithful-sweep-97,4,16,48,-24.46430206298828,-34.997406005859375
05kqgefh,astral-sweep-98,4,16,72,-23.08988571166992,-34.758575439453125
7osewy79,stoic-sweep-99,4,16,90,-23.00238800048828,-35.02992248535156
h66hkw0g,mild-sweep-100,4,20,2,-27.732177734375,-35.10926818847656
bnds4eoo,electric-sweep-101,4,20,4,-24.094785690307617,-34.837806701660156
